nome_campeonato,temporada,pais,rodada,time_dentro,time_fora,resultado_final,resultado_final_v_d_e,gols_mandante,gols_visitante,horario,turno,dia_semana,posicao_time_dentro,posicao_time_fora,ultimo_jogo_casa,segundo_ultimo_jogo_casa,terceiro_ultimo_jogo_casa,quarto_ultimo_jogo_casa,quinto_ultimo_jogo_casa,ultimo_jogo_visitante,segundo_ultimo_jogo_visitante,terceiro_ultimo_jogo_visitante,quarto_ultimo_jogo_visitante,quinto_ultimo_jogo_visitante,media_gols_marcados_por_jogo_time_casa_em_casa,media_gols_marcados_por_jogo_time_casa_fora,media_gols_marcados_por_jogo_time_casa_global,media_gols_sofridos_por_jogo_time_casa_em_casa,media_gols_sofridos_por_jogo_time_casa_fora,media_gols_sofridos_por_jogo_time_casa_global,media_gols_marcados_sofridos_por_jogo_time_casa_em_casa,media_gols_marcados_sofridos_por_jogo_time_casa_fora,media_gols_marcados_sofridos_por_jogo_time_casa_global,jogos_sem_sofrer_gols_time_casa_em_casa,jogos_sem_sofrer_gols_time_casa_fora,jogos_sem_sofrer_gols_time_casa_global,jogos_sem_marcar_gols_time_casa_em_casa,jogos_sem_marcar_gols_time_casa_fora,jogos_sem_marcar_gols_time_casa_global,jogos_com_mais_de_dois_gols_e_meio_time_casa_em_casa,jogos_com_mais_de_dois_gols_e_meio_time_casa_fora,jogos_com_mais_de_dois_gols_e_meio_time_casa_global,jogos_com_menos_de_dois_gols_e_meio_time_casa_em_casa,jogos_com_menos_de_dois_gols_e_meio_time_casa_fora,jogos_com_menos_de_dois_gols_e_meio_time_casa_global,media_gols_marcados_por_jogo_time_visitante_em_casa,media_gols_marcados_por_jogo_time_visitante_fora,media_gols_marcados_por_jogo_time_visitante_global,media_gols_sofridos_por_jogo_time_visitante_em_casa,media_gols_sofridos_por_jogo_time_visitante_fora,media_gols_sofridos_por_jogo_time_visitante_global,media_gols_marcados_sofridos_por_jogo_time_visitante_em_casa,media_gols_marcados_sofridos_por_jogo_time_visitante_fora,media_gols_marcados_sofridos_por_jogo_time_visitante_global,jogos_sem_sofrer_gols_time_visitante_em_casa,jogos_sem_sofrer_gols_time_visitante_fora,jogos_sem_sofrer_gols_time_visitante_global,jogos_sem_marcar_gols_time_visitante_em_casa,jogos_sem_marcar_gols_time_visitante_fora,jogos_sem_marcar_gols_time_visitante_global,jogos_com_mais_de_dois_gols_e_meio_time_visitante_em_casa,jogos_com_mais_de_dois_gols_e_meio_time_visitante_fora,jogos_com_mais_de_dois_gols_e_meio_time_visitante_global,jogos_com_menos_de_dois_gols_e_meio_time_visitante_em_casa,jogos_com_menos_de_dois_gols_e_meio_time_visitante_fora,jogos_com_menos_de_dois_gols_e_meio_time_visitante_global,gols_marcados_time_casa_primeiro_sexto,gols_sofridos_time_casa_primeiro_sexto,gols_marcados_time_casa_segundo_sexto,gols_sofridos_time_casa_segundo_sexto,gols_marcados_time_casa_terceiro_sexto,gols_sofridos_time_casa_terceiro_sexto,gols_marcados_time_casa_quarto_sexto,gols_sofridos_time_casa_quarto_sexto,gols_marcados_time_casa_quinto_sexto,gols_sofridos_time_casa_quinto_sexto,gols_marcados_time_casa_ultimo_sexto,gols_sofridos_time_casa_ultimo_sexto,gols_marcados_time_visitante_primeiro_sexto,gols_sofridos_time_visitante_primeiro_sexto,gols_marcados_time_visitante_segundo_sexto,gols_sofridos_time_visitante_segundo_sexto,gols_marcados_time_visitante_terceiro_sexto,gols_sofridos_time_visitante_terceiro_sexto,gols_marcados_time_visitante_quarto_sexto,gols_sofridos_time_visitante_quarto_sexto,gols_marcados_time_visitante_quinto_sexto,gols_sofridos_time_visitante_quinto_sexto,gols_marcados_time_visitante_ultimo_sexto,gols_sofridos_time_visitante_ultimo_sexto,minuto_primeira_expulsao_time_a,minuto_segunda_expulsao_time_a,minuto_terceira_expulsao_time_a,minuto_quarta_expulsao_time_a,minuto_primeira_expulsao_time_b,minuto_segunda_expulsao_time_b,minuto_terceira_expulsao_time_b,minuto_quarta_expulsao_time_b,placar_momento_expulsao_um,placar_momento_expulsao_dois,placar_momento_expulsao_tres,placar_momento_expulsao_quatro,placar_momento_expulsao_cinco,placar_momento_expulsao_seis,placar_momento_expulsao_sete,placar_momento_expulsao_oito,expulsao_um_cartao,expulsao_dois_cartao,expulsao_tres_cartao,expulsao_quatro_cartao,expulsao_cinco_cartao,expulsao_seis_cartao,expulsao_sete_cartao,expulsao_oito_cartao,quantidade_de_gols_apos_expulsao_um_time_a,quantidade_de_gols_apos_expulsao_um_time_b,quantidade_de_gols_apos_expulsao_dois_time_a,quantidade_de_gols_apos_expulsao_dois_time_b,quantidade_de_gols_apos_expulsao_tres_time_a,quantidade_de_gols_apos_expulsao_tres_time_b,quantidade_de_gols_apos_expulsao_quatro_time_a,quantidade_de_gols_apos_expulsao_quatro_time_b,quantidade_de_gols_apos_expulsao_cinco_time_a,quantidade_de_gols_apos_expulsao_cinco_time_b,quantidade_de_gols_apos_expulsao_seis_time_a,quantidade_de_gols_apos_expulsao_seis_time_b,quantidade_de_gols_apos_expulsao_sete_time_a,quantidade_de_gols_apos_expulsao_sete_time_b,quantidade_de_gols_apos_expulsao_oito_time_a,quantidade_de_gols_apos_expulsao_oito_time_b,quantidade_de_gols_no_momento_expulsao_um_time_a,quantidade_de_gols_no_momento_expulsao_um_time_b,quantidade_de_gols_no_momento_expulsao_dois_time_a,quantidade_de_gols_no_momento_expulsao_dois_time_b,quantidade_de_gols_no_momento_expulsao_tres_time_a,quantidade_de_gols_no_momento_expulsao_tres_time_b,quantidade_de_gols_no_momento_expulsao_quatro_time_a,quantidade_de_gols_no_momento_expulsao_quatro_time_b,quantidade_de_gols_no_momento_expulsao_cinco_time_a,quantidade_de_gols_no_momento_expulsao_cinco_time_b,quantidade_de_gols_no_momento_expulsao_seis_time_a,quantidade_de_gols_no_momento_expulsao_seis_time_b,quantidade_de_gols_no_momento_expulsao_sete_time_a,quantidade_de_gols_no_momento_expulsao_sete_time_b,quantidade_de_gols_no_momento_expulsao_oito_time_a,quantidade_de_gols_no_momento_expulsao_oito_time_b,intervalo_expulsao_um_v_d_e,intervalo_expulsao_dois_v_d_e,intervalo_expulsao_tres_v_d_e,intervalo_expulsao_quatro_v_d_e,intervalo_expulsao_cinco_v_d_e,intervalo_expulsao_seis_v_d_e,intervalo_expulsao_sete_v_d_e,intervalo_expulsao_oito_v_d_e,momento_expulsao_um_v_d_e,momento_expulsao_dois_v_d_e,momento_expulsao_tres_v_d_e,momento_expulsao_quatro_v_d_e,momento_expulsao_cinco_v_d_e,momento_expulsao_seis_v_d_e,momento_expulsao_sete_v_d_e,momento_expulsao_oito_v_d_e,expulsao_um_m_v,expulsao_dois_m_v,expulsao_tres_m_v,expulsao_quatro_m_v,expulsao_cinco_m_v,expulsao_seis_m_v,expulsao_sete_m_v,expulsao_oito_m_v,qtd_expulsoes_time_a,qtd_expulsoes_time_b,posse_time_a,posse_time_b,chutes_a_gol_time_a,chutes_a_gol_time_b,chutes_fora_time_a,chutes_fora_time_b,ataques_time_a,ataques_time_b,ataques_perigosos_time_a,ataques_perigosos_time_b,impedimentos_time_a,impedimentos_time_b,faltas_time_a,faltas_time_b,escanteios_time_a,escanteios_time_b
Brasileirão Série A,2018,Brasil,30,Fluminense,Atlético MG,1 - 0,V,1,0,2018-10-21 16:00:00,Tarde,Domingo,9,6,D,V,V,D,V,E,D,V,D,E,1.07,1.0,1.03,0.71,1.67,1.21,1.78,2.67,2.24,0.5,0.13,0.31,0.36,0.27,0.31,0.21,0.67,0.45,0.79,0.33,0.55,1.87,1.36,1.62,0.87,1.5,1.17,2.74,2.86,2.79,0.4,0.14,0.28,0.27,0.29,0.28,0.47,0.64,0.55,0.53,0.36,0.45,1,0,5,3,4,2,2,1,0,0,3,4,3,2,1,3,2,1,3,4,4,3,6,8,83,,,,,,,,1-0,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,E,,,,,,,,V,,,,,,,,Mandante,,,,,,,,1,0,0.57,0.43,4,4,4,6,72,66,36,36,2,0,12,17,4,7
Brasileirão Série A,2018,Brasil,30,Palmeiras,Ceará,2 - 1,V,2,1,2018-10-21 16:00:00,Tarde,Domingo,1,17,V,V,V,V,E,E,V,D,V,E,1.93,1.2,1.55,0.57,0.67,0.62,2.5,1.87,2.17,0.64,0.4,0.52,0.07,0.33,0.21,0.43,0.27,0.34,0.57,0.73,0.66,0.93,0.62,0.79,0.93,1.15,1.04,1.86,1.77,1.83,0.4,0.31,0.36,0.47,0.46,0.46,0.33,0.23,0.29,0.67,0.77,0.71,4,0,2,0,6,1,3,3,4,1,8,2,3,0,1,2,0,3,0,2,2,2,2,6,46,,,,,,,,2-0,,,,,,,,Vermelho direto,,,,,,,,0,1,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,D,,,,,,,,V,,,,,,,,Mandante,,,,,,,,1,0,0.44,0.56,4,5,4,10,64,67,28,43,1,2,13,12,4,12
Brasileirão Série A,2018,Brasil,30,Paraná,Flamengo,0 - 4,D,0,4,2018-10-21 19:00:00,Noite,Domingo,20,3,D,D,E,D,D,V,V,E,D,V,0.71,0.13,0.41,1.07,1.87,1.48,1.78,2.0,1.89,0.29,0.0,0.14,0.36,0.87,0.62,0.21,0.27,0.24,0.79,0.73,0.76,1.67,1.36,1.52,0.33,1.21,0.76,2.0,2.57,2.28,0.67,0.36,0.52,0.13,0.21,0.17,0.2,0.5,0.34,0.8,0.5,0.66,2,3,0,2,2,1,1,2,1,2,4,5,3,4,1,5,1,2,5,2,5,1,4,3,71,,,,,,,,0-3,,,,,,,,Vermelho direto,,,,,,,,0,1,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,D,,,,,,,,D,,,,,,,,Mandante,,,,,,,,1,0,0.37,0.63,2,2,2,3,65,81,32,49,1,2,17,12,4,1
Brasileirão Série A,2018,Brasil,29,Vasco,Cruzeiro,2 - 0,V,2,0,2018-10-14 16:00:00,Tarde,Domingo,15,9,E,E,E,V,E,V,E,D,E,V,1.64,0.64,1.14,1.5,1.36,1.43,3.14,2.0,2.57,0.14,0.07,0.11,0.07,0.36,0.21,0.64,0.29,0.46,0.36,0.71,0.54,1.15,0.5,0.81,0.69,1.0,0.85,1.84,1.5,1.66,0.38,0.29,0.33,0.31,0.5,0.41,0.31,0.07,0.19,0.69,0.93,0.81,1,3,2,1,5,4,4,2,2,5,9,6,0,1,1,2,3,1,0,2,3,4,0,4,,,,,72,,,,2-0,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,E,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.53,0.47,4,6,6,4,47,42,33,22,1,1,15,16,10,9
Brasileirão Série A,2018,Brasil,29,Internacional,São Paulo,3 - 1,V,3,1,2018-10-14 16:00:00,Tarde,Domingo,2,4,D,V,E,D,V,D,E,E,E,V,1.54,1.07,1.29,0.31,1.0,0.68,1.85,2.07,1.97,0.69,0.4,0.54,0.23,0.33,0.29,0.46,0.47,0.46,0.54,0.53,0.54,1.5,1.29,1.39,0.71,1.0,0.86,2.21,2.29,2.25,0.5,0.36,0.43,0.14,0.21,0.18,0.36,0.43,0.39,0.64,0.57,0.61,2,2,1,0,4,0,4,1,4,1,5,0,4,4,3,1,2,3,2,1,3,3,3,2,,,,,93,,,,2-1,,,,,,,,Segundo amarelo,,,,,,,,1,0,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,V,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.55,0.45,6,0,4,4,58,61,43,45,4,1,17,22,6,4
Brasileirão Série A,2018,Brasil,28,Vitória,Santos,0 - 1,D,0,1,2018-10-05 21:30:00,Noite,Sexta-feira,17,8,D,D,D,V,E,V,E,D,E,V,1.31,0.71,1.0,1.23,2.29,1.78,2.54,3.0,2.78,0.46,0.14,0.3,0.08,0.5,0.3,0.46,0.64,0.56,0.54,0.36,0.44,1.43,0.85,1.15,0.71,1.23,0.96,2.14,2.08,2.11,0.43,0.38,0.41,0.29,0.38,0.33,0.29,0.31,0.3,0.71,0.69,0.7,2,2,2,3,2,2,3,2,5,5,3,2,1,1,2,1,1,2,1,5,2,2,4,5,82,,,,,,,,0-1,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,E,,,,,,,,D,,,,,,,,Mandante,,,,,,,,1,0,0.6,0.4,3,2,9,4,55,40,34,27,0,1,17,25,8,2
Brasileirão Série A,2018,Brasil,28,Grêmio,Bahia,2 - 2,E,2,2,2018-10-06 21:00:00,Noite,Sábado,4,14,V,V,V,V,V,D,E,D,V,E,1.86,0.69,1.3,0.5,0.54,0.52,2.36,1.23,1.82,0.64,0.62,0.63,0.29,0.38,0.33,0.36,0.15,0.26,0.64,0.85,0.74,1.43,0.46,0.96,0.86,1.54,1.19,2.29,2.0,2.15,0.5,0.08,0.3,0.29,0.62,0.44,0.36,0.15,0.26,0.64,0.85,0.74,2,2,2,1,7,2,7,0,5,1,3,1,0,1,1,1,1,7,1,3,0,5,3,3,,,,,55,,,,0-1,,,,,,,,Segundo amarelo,,,,,,,,2,1,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,V,,,,,,,,D,,,,,,,,Visitante,,,,,,,,0,1,0.7,0.3,6,3,5,3,75,44,65,31,5,0,13,24,9,4
Brasileirão Série A,2018,Brasil,27,Atlético MG,Sport,5 - 2,V,5,2,2018-09-30 16:00:00,Tarde,Domingo,6,19,D,E,V,V,E,D,D,E,D,V,1.77,1.46,1.62,0.85,1.54,1.19,2.62,3.0,2.81,0.38,0.15,0.27,0.23,0.23,0.23,0.46,0.69,0.58,0.54,0.31,0.42,0.92,0.69,0.81,1.0,2.0,1.5,1.92,2.69,2.31,0.38,0.08,0.23,0.31,0.62,0.46,0.23,0.54,0.38,0.77,0.46,0.62,2,1,3,3,4,2,1,0,6,1,7,4,1,3,1,1,2,5,2,6,2,3,1,8,,,,,33,,,,4-0,,,,,,,,Segundo amarelo,,,,,,,,1,2,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,D,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.61,0.39,5,0,9,4,73,53,50,29,2,0,17,15,6,6
Brasileirão Série A,2018,Brasil,27,Internacional,Vitória,2 - 1,V,2,1,2018-09-30 16:00:00,Tarde,Domingo,3,14,E,D,V,V,E,D,D,V,E,V,1.5,1.07,1.27,0.25,0.93,0.62,1.75,2.0,1.89,0.75,0.43,0.58,0.25,0.36,0.31,0.42,0.43,0.42,0.58,0.57,0.58,1.31,0.69,1.0,1.23,2.31,1.77,2.54,3.0,2.77,0.46,0.15,0.31,0.08,0.54,0.31,0.46,0.62,0.54,0.54,0.38,0.46,2,1,1,0,4,0,4,1,3,1,4,0,0,3,1,9,1,8,0,3,3,5,4,2,,,,,96,,,,2-0,,,,,,,,Vermelho direto,,,,,,,,0,1,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,D,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.65,0.35,5,2,3,1,82,48,61,28,4,1,18,16,7,0
Brasileirão Série A,2018,Brasil,27,Paraná,Vasco,1 - 1,E,1,1,2018-10-01 20:00:00,Noite,Segunda-feira,20,16,D,D,D,E,D,E,V,E,D,D,0.69,0.15,0.42,1.08,1.69,1.38,1.77,1.84,1.8,0.31,0.0,0.15,0.38,0.85,0.62,0.23,0.23,0.23,0.77,0.77,0.77,1.64,0.58,1.15,1.5,1.42,1.46,3.14,2.0,2.61,0.14,0.08,0.12,0.07,0.42,0.23,0.64,0.33,0.5,0.36,0.67,0.5,1,3,0,2,2,0,1,2,1,2,4,5,0,3,2,1,0,3,2,1,1,5,2,4,,,,,57,,,,1-1,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,E,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.44,0.56,5,5,14,10,64,83,44,49,2,2,14,11,11,5
Brasileirão Série A,2018,Brasil,26,Chapecoense,Fluminense,1 - 2,D,1,2,2018-09-24 20:00:00,Noite,Segunda-feira,16,10,V,V,D,E,D,V,D,V,E,E,1.5,0.62,1.04,0.92,1.92,1.44,2.42,2.54,2.48,0.25,0.15,0.2,0.08,0.54,0.32,0.42,0.38,0.4,0.58,0.62,0.6,0.92,1.0,0.96,0.75,1.62,1.2,1.67,2.62,2.16,0.5,0.15,0.32,0.33,0.23,0.28,0.17,0.62,0.4,0.83,0.38,0.6,0,3,2,1,1,0,0,3,6,2,9,2,0,1,3,4,2,5,3,1,1,6,4,4,80,,,,,,,,1-2,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,E,,,,,,,,D,,,,,,,,Mandante,,,,,,,,1,0,0.57,0.43,3,3,6,2,63,51,47,33,2,0,16,17,7,2
Brasileirão Série A,2018,Brasil,26,Vasco,Bahia,2 - 1,V,2,1,2018-09-24 20:00:00,Noite,Segunda-feira,18,14,E,D,D,D,D,V,E,D,V,D,1.62,0.55,1.13,1.54,1.45,1.5,3.16,2.0,2.63,0.15,0.09,0.13,0.08,0.45,0.25,0.62,0.36,0.5,0.38,0.64,0.5,1.54,0.42,1.0,0.92,1.5,1.2,2.46,1.92,2.2,0.46,0.08,0.28,0.23,0.67,0.44,0.38,0.08,0.24,0.62,0.92,0.76,1,3,2,1,4,3,4,2,2,5,8,6,0,1,1,1,0,6,1,3,0,5,3,2,,,,,29,,,,0-0,,,,,,,,Vermelho direto,,,,,,,,2,1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,V,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.59,0.41,4,4,3,5,66,50,41,32,4,1,13,14,4,8
Brasileirão Série A,2018,Brasil,25,Vasco,Flamengo,1 - 1,E,1,1,2018-09-15 19:00:00,Noite,Sábado,17,4,D,D,D,D,V,E,V,D,D,V,1.67,0.55,1.13,1.58,1.45,1.52,3.25,2.0,2.65,0.17,0.09,0.13,0.08,0.45,0.26,0.67,0.36,0.52,0.33,0.64,0.48,1.54,1.36,1.46,0.31,1.45,0.83,1.85,2.81,2.29,0.69,0.27,0.5,0.15,0.18,0.17,0.08,0.55,0.29,0.92,0.45,0.71,1,3,1,1,4,3,4,2,2,4,8,6,3,4,1,4,1,2,4,2,3,1,3,3,,,,,58,,,,1-0,,,,,,,,Vermelho direto,,,,,,,,0,1,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,D,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.39,0.61,4,5,5,12,63,69,31,48,0,1,18,12,6,13
Brasileirão Série A,2018,Brasil,25,Botafogo,América MG,1 - 0,V,1,0,2018-09-16 11:00:00,Dia,Domingo,15,11,D,E,D,V,D,E,V,D,E,V,1.09,0.69,0.88,0.73,1.92,1.38,1.82,2.61,2.26,0.45,0.0,0.21,0.27,0.62,0.46,0.27,0.38,0.33,0.73,0.62,0.67,1.31,0.64,1.0,0.92,1.45,1.17,2.23,2.09,2.17,0.46,0.18,0.33,0.31,0.55,0.42,0.62,0.27,0.46,0.38,0.73,0.54,1,0,1,0,3,4,1,1,3,1,3,2,1,1,1,1,3,4,1,5,1,2,0,3,88,,,,88,,,,1-0,1-0,,,,,,,Vermelho direto,Vermelho direto,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,E,E,,,,,,,V,V,,,,,,,Mandante,Visitante,,,,,,,1,1,0.55,0.45,4,1,7,5,83,74,67,50,1,4,10,14,5,1
Brasileirão Série A,2018,Brasil,25,Chapecoense,Internacional,2 - 1,V,2,1,2018-09-17 20:00:00,Noite,Segunda-feira,16,1,V,D,E,D,D,V,V,E,E,V,1.45,0.62,1.0,0.91,1.92,1.46,2.36,2.54,2.46,0.27,0.15,0.21,0.09,0.54,0.33,0.36,0.38,0.38,0.64,0.62,0.63,1.5,1.08,1.29,0.25,0.83,0.54,1.75,1.91,1.83,0.75,0.5,0.63,0.25,0.42,0.33,0.42,0.42,0.42,0.58,0.58,0.58,0,3,2,0,0,0,0,3,6,2,8,2,1,1,3,0,4,4,1,3,0,1,4,1,,,,,80,,,,1-1,,,,,,,,Segundo amarelo,,,,,,,,1,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,V,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.51,0.49,3,3,9,8,70,63,42,36,0,3,12,13,6,4
Brasileirão Série A,2018,Brasil,24,Vitória,Vasco,1 - 0,V,1,0,2018-09-09 19:00:00,Noite,Domingo,14,16,E,V,V,D,D,D,D,D,V,E,1.18,0.75,0.96,1.09,2.33,1.74,2.27,3.08,2.7,0.45,0.17,0.3,0.09,0.5,0.3,0.45,0.67,0.57,0.55,0.33,0.43,1.67,0.6,1.18,1.58,1.5,1.55,3.25,2.1,2.73,0.17,0.1,0.14,0.08,0.4,0.23,0.67,0.4,0.55,0.33,0.6,0.45,1,2,2,2,2,1,2,1,4,4,2,2,0,3,2,1,0,2,2,1,1,4,1,4,75,,,,75,,,,1-0,1-0,,,,,,,Vermelho direto,Vermelho direto,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,E,E,,,,,,,V,V,,,,,,,Mandante,Visitante,,,,,,,1,1,,,,,,,,,,,,,,,,
Brasileirão Série A,2018,Brasil,24,Atlético MG,Atlético PR,3 - 1,V,3,1,2018-09-10 20:00:00,Noite,Segunda-feira,6,13,V,E,D,E,V,D,V,V,V,V,1.67,1.64,1.65,0.83,1.64,1.22,2.5,3.28,2.87,0.42,0.09,0.26,0.25,0.18,0.22,0.42,0.73,0.57,0.58,0.27,0.43,2.09,0.18,1.14,0.91,1.09,1.0,3.0,1.27,2.14,0.45,0.45,0.45,0.09,0.82,0.45,0.64,0.18,0.41,0.36,0.82,0.59,2,0,2,3,4,2,1,0,5,1,6,4,0,0,0,1,2,3,0,1,0,3,0,4,,,,,91,,,,3-0,,,,,,,,Vermelho direto,,,,,,,,0,1,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,D,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.47,0.53,5,5,4,4,49,64,34,44,3,0,13,14,6,6
Brasileirão Série A,2018,Brasil,22,Vitória,América MG,1 - 0,V,1,0,2018-09-01 16:00:00,Tarde,Sábado,16,9,V,D,D,D,E,E,V,E,D,E,1.2,0.82,1.0,1.2,2.55,1.9,2.4,3.37,2.9,0.4,0.09,0.24,0.1,0.45,0.29,0.5,0.73,0.62,0.5,0.27,0.38,1.36,0.7,1.05,1.0,1.5,1.24,2.36,2.2,2.29,0.45,0.2,0.33,0.27,0.5,0.38,0.64,0.3,0.48,0.36,0.7,0.52,1,2,2,2,2,1,1,1,4,4,2,2,1,1,1,1,3,4,1,4,1,2,0,3,,,,,16,,,,0-0,,,,,,,,Vermelho direto,,,,,,,,1,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,V,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.55,0.45,9,4,5,1,60,52,45,34,1,3,20,10,5,3
Brasileirão Série A,2018,Brasil,22,São Paulo,Fluminense,1 - 1,E,1,1,2018-09-02 16:00:00,Tarde,Domingo,1,10,V,E,V,V,V,D,V,E,V,D,1.8,1.45,1.62,0.6,1.0,0.81,2.4,2.45,2.43,0.6,0.36,0.48,0.1,0.09,0.1,0.5,0.45,0.48,0.5,0.55,0.52,1.0,1.0,1.0,0.9,1.55,1.24,1.9,2.55,2.24,0.4,0.18,0.29,0.3,0.27,0.29,0.2,0.64,0.43,0.8,0.36,0.57,2,0,3,1,4,0,3,1,1,1,5,3,0,1,3,3,2,4,1,1,1,4,4,4,34,,,,,,,,0-0,,,,,,,,Vermelho direto,,,,,,,,1,1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,E,,,,,,,,E,,,,,,,,Mandante,,,,,,,,1,0,0.47,0.53,3,0,3,5,63,56,41,38,,,14,16,5,5
Brasileirão Série A,2018,Brasil,21,Corinthians,Paraná,1 - 0,V,1,0,2018-08-25 19:00:00,Noite,Sábado,8,20,D,D,V,D,D,E,D,E,D,D,1.0,1.2,1.1,0.4,1.3,0.85,1.4,2.5,1.95,0.6,0.1,0.35,0.3,0.4,0.35,0.1,0.5,0.3,0.9,0.5,0.7,0.73,0.22,0.5,1.0,1.67,1.3,1.73,1.89,1.8,0.36,0.0,0.2,0.36,0.78,0.55,0.27,0.22,0.25,0.73,0.78,0.75,1,1,0,0,3,0,2,2,1,1,3,0,0,0,0,2,0,5,0,2,1,3,1,3,,,,,75,,,,1-0,,,,,,,,Segundo amarelo,,,,,,,,0,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,E,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.51,0.49,6,4,7,6,76,64,50,42,2,0,16,17,8,7
Brasileirão Série A,2018,Brasil,21,São Paulo,Ceará,1 - 0,V,1,0,2018-08-26 11:00:00,Dia,Domingo,1,19,E,V,V,V,V,E,E,E,V,V,1.89,1.45,1.65,0.67,1.0,0.85,2.56,2.45,2.5,0.56,0.36,0.45,0.11,0.09,0.1,0.56,0.45,0.5,0.44,0.55,0.5,0.7,0.56,0.63,1.0,1.22,1.11,1.7,1.78,1.74,0.4,0.22,0.32,0.5,0.44,0.47,0.3,0.22,0.26,0.7,0.78,0.74,2,0,3,1,4,0,3,1,1,1,4,3,2,0,0,1,0,2,0,2,2,1,1,5,,,,,80,,,,1-0,,,,,,,,Vermelho direto,,,,,,,,0,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,E,,,,,,,,V,,,,,,,,Visitante,,,,,,,,0,1,0.59,0.41,5,3,9,2,70,45,38,19,0,2,11,20,8,5
Brasileirão Série A,2018,Brasil,21,América MG,Flamengo,2 - 2,E,2,2,2018-08-26 16:00:00,Tarde,Domingo,10,3,V,E,D,E,V,V,D,V,V,D,1.3,0.7,1.0,0.9,1.5,1.2,2.2,2.2,2.2,0.5,0.2,0.35,0.3,0.5,0.4,0.6,0.3,0.45,0.4,0.7,0.55,1.64,1.33,1.5,0.27,1.33,0.75,1.91,2.66,2.25,0.73,0.33,0.55,0.09,0.22,0.15,0.09,0.44,0.25,0.91,0.56,0.75,4,2,0,0,5,3,1,0,0,1,3,3,2,3,1,3,1,2,3,1,2,1,3,2,,,,,65,,,,1-2,,,,,,,,Vermelho direto,,,,,,,,1,0,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,V,,,,,,,,D,,,,,,,,Visitante,,,,,,,,0,1,0.48,0.52,0,4,9,4,60,47,31,27,,,11,9,3,6
Brasileirão Série A,2018,Brasil,20,Palmeiras,Botafogo,2 - 0,V,2,0,2018-08-22 21:00:00,Noite,Quarta-feira,1,9,V,V,V,V,E,D,V,E,E,D,1.89,1.2,1.53,0.78,0.8,0.79,2.67,2.0,2.32,0.56,0.3,0.42,0.11,0.4,0.26,0.56,0.3,0.42,0.44,0.7,0.58,1.0,0.9,0.95,0.78,1.8,1.32,1.78,2.7,2.27,0.44,0.0,0.21,0.33,0.5,0.42,0.33,0.4,0.37,0.67,0.6,0.63,3,0,1,0,5,0,2,3,2,1,4,2,2,3,1,2,1,4,1,2,1,2,3,5,,,,,71,,,,0-0,,,,,,,,Segundo amarelo,,,,,,,,2,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,V,,,,,,,,E,,,,,,,,Visitante,,,,,,,,0,1,0.65,0.35,4,4,9,5,64,49,48,25,3,0,13,15,11,3
